"","COM","n"
"1","01001",5
"2","01002",2
"3","01004",75
"4","01005",15
"5","01006",2
"6","01007",15
"7","01008",8
"8","01009",2
"9","01010",3
"10","01011",2
"11","01012",3
"12","01013",2
"13","01014",23
"14","01015",5
"15","01016",1
"16","01017",4
"17","01021",15
"18","01022",2
"19","01024",16
"20","01025",18
"21","01026",9
"22","01027",13
"23","01028",2
"24","01029",6
"25","01030",12
"26","01031",25
"27","01032",36
"28","01033",55
"29","01034",63
"30","01035",2
"31","01036",5
"32","01037",2
"33","01038",5
"34","01039",1
"35","01040",2
"36","01041",2
"37","01043",38
"38","01044",7
"39","01045",3
"40","01046",7
"41","01047",12
"42","01049",35
"43","01050",1
"44","01051",3
"45","01052",2
"46","01053",188
"47","01054",7
"48","01056",4
"49","01057",3
"50","01058",9
"51","01059",1
"52","01060",2
"53","01061",4
"54","01062",2
"55","01063",1
"56","01064",9
"57","01065",12
"58","01066",1
"59","01068",8
"60","01069",10
"61","01071",34
"62","01072",21
"63","01073",3
"64","01074",15
"65","01075",14
"66","01077",1
"67","01078",4
"68","01079",10
"69","01080",2
"70","01081",8
"71","01082",6
"72","01083",10
"73","01084",4
"74","01085",1
"75","01087",1
"76","01088",8
"77","01089",21
"78","01090",2
"79","01091",21
"80","01092",15
"81","01093",51
"82","01094",6
"83","01095",6
"84","01096",6
"85","01097",1
"86","01098",6
"87","01099",12
"88","01102",8
"89","01103",13
"90","01104",5
"91","01105",21
"92","01106",2
"93","01107",1
"94","01108",4
"95","01109",15
"96","01111",2
"97","01112",4
"98","01113",5
"99","01114",2
"100","01115",10
"101","01116",4
"102","01117",1
"103","01118",7
"104","01122",6
"105","01123",6
"106","01124",7
"107","01125",6
"108","01127",6
"109","01129",2
"110","01130",7
"111","01133",5
"112","01134",8
"113","01135",15
"114","01136",4
"115","01138",17
"116","01139",2
"117","01140",2
"118","01141",2
"119","01142",36
"120","01143",55
"121","01145",9
"122","01146",1
"123","01147",4
"124","01148",8
"125","01149",4
"126","01151",9
"127","01152",6
"128","01153",15
"129","01154",2
"130","01155",2
"131","01156",8
"132","01157",23
"133","01158",7
"134","01159",18
"135","01160",68
"136","01162",1
"137","01163",16
"138","01165",8
"139","01166",22
"140","01167",4
"141","01169",4
"142","01170",6
"143","01171",4
"144","01173",74
"145","01174",1
"146","01175",4
"147","01179",15
"148","01180",13
"149","01181",11
"150","01183",17
"151","01184",4
"152","01185",20
"153","01186",1
"154","01187",10
"155","01188",10
"156","01189",10
"157","01190",1
"158","01192",14
"159","01193",2
"160","01194",45
"161","01195",10
"162","01196",5
"163","01197",4
"164","01198",3
"165","01199",14
"166","01200",4
"167","01202",39
"168","01203",6
"169","01204",9
"170","01205",8
"171","01206",1
"172","01207",3
"173","01209",5
"174","01210",5
"175","01211",3
"176","01212",3
"177","01213",6
"178","01214",5
"179","01216",7
"180","01218",1
"181","01219",1
"182","01224",24
"183","01225",2
"184","01227",3
"185","01228",11
"186","01229",12
"187","01230",1
"188","01231",13
"189","01232",20
"190","01233",1
"191","01235",5
"192","01236",4
"193","01237",9
"194","01238",33
"195","01239",4
"196","01240",5
"197","01241",7
"198","01243",6
"199","01244",53
"200","01245",8
"201","01246",15
"202","01247",4
"203","01248",15
"204","01249",79
"205","01250",13
"206","01252",5
"207","01254",20
"208","01255",6
"209","01258",4
"210","01259",5
"211","01260",1
"212","01261",6
"213","01262",51
"214","01263",19
"215","01264",6
"216","01265",22
"217","01266",17
"218","01267",4
"219","01268",2
"220","01269",21
"221","01272",13
"222","01273",6
"223","01274",5
"224","01275",36
"225","01276",10
"226","01279",1
"227","01281",28
"228","01282",2
"229","01283",115
"230","01284",9
"231","01285",9
"232","01286",6
"233","01288",19
"234","01289",41
"235","01290",12
"236","01291",5
"237","01294",5
"238","01295",5
"239","01296",1
"240","01297",8
"241","01299",6
"242","01301",17
"243","01303",11
"244","01304",21
"245","01305",16
"246","01306",6
"247","01307",5
"248","01308",4
"249","01311",2
"250","01313",38
"251","01314",7
"252","01317",2
"253","01318",6
"254","01319",3
"255","01320",18
"256","01321",9
"257","01322",32
"258","01323",10
"259","01325",5
"260","01329",2
"261","01330",3
"262","01331",7
"263","01332",5
"264","01333",34
"265","01334",5
"266","01335",1
"267","01336",6
"268","01337",4
"269","01338",10
"270","01339",14
"271","01341",2
"272","01342",6
"273","01343",16
"274","01344",31
"275","01345",16
"276","01346",6
"277","01347",20
"278","01348",18
