Code commune,Nom commune,Code région,Code département,Logements,Établissements,Meilleure estimation des locaux à date,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,T4 2017prop,T1 2018prop,T2 2018prop,T3 2018prop,T4 2018prop,T1 2019prop,T2 2019prop,T3 2019prop,T4 2019prop,T1 2020prop,T2 2020prop,T3 2020prop,Indicateur_AMEL_AMII
01001,L'Abergement-Clémenciat,84,01,345,10,365,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
01002,L'Abergement-de-Varey,84,01,165,2,183,NA,NA,NA,1,1,0,0,0,88.52,88.52,90.71,90.71,90.71,90.71,90.71,90.71,90.71,0
01004,Ambérieu-en-Bugey,84,01,6963,508,7471,NA,FRTE (AMII),NA,NA,NA,24,30.09,43.1,52.4,54.85,59.27,62.86,68.26,80.5,86.59,87.65,90.08,1
01005,Ambérieux-en-Dombes,84,01,663,32,830,NA,NA,NA,1,NA,0.24,0.24,0.24,0.24,0.24,73.98,74.46,74.46,74.46,74.58,74.7,73.49,0
01006,Ambléon,84,01,73,NA,82,NA,NA,NA,1,1,91.46,90.24,91.46,96.34,96.34,96.34,96.34,96.34,96.34,96.34,96.34,96.34,0
01007,Ambronay,84,01,1180,53,1547,NA,NA,NA,1,NA,67.94,68.13,68.26,69.23,74.21,74.34,74.27,74.47,74.47,74.47,74.6,74.47,0
01008,Ambutrix,84,01,340,18,396,NA,NA,NA,NA,NA,0,0,0,0,82.83,83.84,83.84,83.84,83.84,84.09,84.09,84.85,0
01009,Andert-et-Condon,84,01,178,7,212,NA,NA,NA,1,NA,0,87.74,87.74,87.74,88.68,88.68,90.57,90.57,93.4,93.87,94.34,94.34,0
01010,Anglefort,84,01,619,10,720,NA,NA,NA,1,1,83.61,83.61,80,80,80,81.39,81.94,82.22,83.06,83.06,83.33,82.64,0
01011,Apremont,84,01,195,5,234,NA,NA,NA,1,1,0,0,0,0,18.8,18.8,18.8,74.79,75.64,76.5,76.5,86.75,0
01012,Aranc,84,01,224.03,5,229,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01013,Arandas,84,01,115.27,3,118,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01014,Arbent,84,01,1472,200,1786,NA,NA,NA,NA,1,94.29,94.23,94.29,94.29,94.29,94.34,94.34,94.46,94.46,94.57,94.68,94.62,0
01015,Arboys en Bugey,84,01,390,11,406,NA,NA,NA,1,1,0,0,0,0,91.13,93.35,93.35,93.84,94.09,94.09,94.09,71.18,0
01016,Arbigny,84,01,210,5,250,NA,NA,NA,1,NA,95.2,93.6,95.2,95.2,95.2,95.2,95.2,96.4,96.8,97.2,97.2,97.2,0
01017,Argis,84,01,317,6,343,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
